epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,286.721,0.69917,1.56874,0.0056,0.74478,0.91482,0.92858,0.82025,0.6047,0.60841,0.00595,0.000404172,0.000404172,0.000404172
80,290.115,0.6715,1.51976,0.00538,0.79329,0.88661,0.91613,0.81063,0.64494,0.60291,0.00639,0.000398674,0.000398674,0.000398674
81,293.489,0.61209,1.35485,0.00507,0.7479,0.92605,0.9328,0.8241,0.63722,0.62214,0.00618,0.000393176,0.000393176,0.000393176
82,296.858,0.70808,1.37497,0.00614,0.81166,0.90617,0.927,0.79788,0.726,0.60847,0.00702,0.000387678,0.000387678,0.000387678
83,300.234,0.71429,1.41461,0.00545,0.74901,0.81526,0.90326,0.81396,0.58049,0.59374,0.00575,0.00038218,0.00038218,0.00038218
84,303.647,0.6569,1.48988,0.00505,0.68495,0.86936,0.89967,0.80028,0.62127,0.7243,0.00622,0.000376683,0.000376683,0.000376683
85,307.104,0.63844,1.3374,0.00476,0.68992,0.90884,0.91421,0.76954,0.78846,0.79583,0.00793,0.000371185,0.000371185,0.000371185
86,310.528,0.67536,1.42196,0.00531,0.69597,0.92356,0.91067,0.75205,0.84097,0.73192,0.00834,0.000365687,0.000365687,0.000365687
87,314.085,0.71922,1.39578,0.00602,0.80229,0.93468,0.9405,0.76895,0.89815,0.58642,0.00876,0.000360189,0.000360189,0.000360189
88,317.457,0.655,1.3372,0.00531,0.76809,0.9595,0.94058,0.8183,0.73929,0.5563,0.00723,0.000354691,0.000354691,0.000354691
89,320.903,0.64104,1.4192,0.0051,0.8477,0.80514,0.92631,0.83677,0.5744,0.59472,0.00572,0.000349194,0.000349194,0.000349194
90,324.274,0.72417,1.28284,0.00534,0.87313,0.79137,0.86792,0.79961,0.48436,0.65996,0.00481,0.000343696,0.000343696,0.000343696
91,327.566,0.6905,1.41468,0.00561,0.83475,0.80887,0.93768,0.84694,0.53497,0.57952,0.00513,0.000338198,0.000338198,0.000338198
92,330.957,0.61518,1.22143,0.00448,0.89127,0.79516,0.96031,0.84056,0.6441,0.53885,0.00616,0.0003327,0.0003327,0.0003327
93,334.288,0.60357,1.25949,0.00515,0.77201,0.9337,0.92642,0.76866,0.88046,0.57432,0.00875,0.000327202,0.000327202,0.000327202
94,337.604,0.72133,1.46031,0.00576,0.79904,0.91964,0.92587,0.76222,0.92085,0.57987,0.00929,0.000321705,0.000321705,0.000321705
95,341.017,0.67006,1.29852,0.00504,0.8189,0.91574,0.93399,0.78842,0.7796,0.56808,0.00793,0.000316207,0.000316207,0.000316207
96,344.277,0.70874,1.15509,0.00568,0.85296,0.89171,0.94733,0.82352,0.6697,0.52987,0.00681,0.000310709,0.000310709,0.000310709
97,347.807,0.60808,1.20252,0.00475,0.81699,0.92971,0.96482,0.81898,0.7326,0.56043,0.00739,0.000305211,0.000305211,0.000305211
98,351.53,0.64113,1.19529,0.00534,0.94222,0.75549,0.96716,0.84155,0.66813,0.54919,0.00659,0.000299713,0.000299713,0.000299713
99,354.914,0.68067,1.13659,0.0051,0.91073,0.88787,0.96956,0.86913,0.5604,0.48104,0.00541,0.000294216,0.000294216,0.000294216
100,358.306,0.6721,1.13572,0.00513,0.86442,0.93053,0.95719,0.84346,0.60957,0.4925,0.00592,0.000288718,0.000288718,0.000288718
101,361.709,0.64985,1.29236,0.00513,0.90942,0.95312,0.96795,0.83255,0.67023,0.5032,0.00661,0.00028322,0.00028322,0.00028322
102,365.037,0.62046,1.21261,0.00509,0.91379,0.9039,0.9617,0.84108,0.64365,0.52652,0.00633,0.000277722,0.000277722,0.000277722
103,368.466,0.60637,1.18519,0.00504,0.89922,0.81002,0.94725,0.83923,0.63792,0.57796,0.00632,0.000272224,0.000272224,0.000272224
104,371.964,0.59857,1.16132,0.00483,0.84175,0.83211,0.94486,0.83956,0.62821,0.5903,0.0062,0.000266727,0.000266727,0.000266727
105,375.4,0.61356,1.00186,0.0047,0.85627,0.8235,0.95388,0.80871,0.73653,0.567,0.00741,0.000261229,0.000261229,0.000261229
106,378.786,0.67766,1.23618,0.00576,0.90967,0.82245,0.96013,0.81282,0.75933,0.53322,0.00746,0.000255731,0.000255731,0.000255731
107,382.263,0.67749,1.12329,0.00491,0.85891,0.87993,0.95672,0.85916,0.60023,0.49847,0.00578,0.000250233,0.000250233,0.000250233
108,385.959,0.70002,1.0771,0.00505,0.88238,0.88049,0.9581,0.88064,0.5031,0.46635,0.00486,0.000244735,0.000244735,0.000244735
109,389.456,0.6648,1.20913,0.0054,0.88753,0.88155,0.95774,0.86708,0.55809,0.48262,0.00541,0.000239238,0.000239238,0.000239238
110,392.726,0.64734,1.06074,0.00554,0.89047,0.85005,0.96104,0.86022,0.60529,0.49366,0.00592,0.00023374,0.00023374,0.00023374
111,396.094,0.6323,1.17687,0.00527,0.9206,0.79182,0.96143,0.86425,0.63034,0.5119,0.00619,0.000228242,0.000228242,0.000228242
112,399.483,0.60453,1.05125,0.00469,0.90831,0.77463,0.93569,0.84827,0.59789,0.53836,0.00583,0.000222744,0.000222744,0.000222744
113,402.919,0.69534,1.05591,0.00495,0.87727,0.82614,0.93531,0.85086,0.59505,0.53439,0.00571,0.000217246,0.000217246,0.000217246
114,406.254,0.66092,1.10609,0.0051,0.86252,0.83161,0.93861,0.8345,0.66222,0.53498,0.00648,0.000211749,0.000211749,0.000211749
115,409.708,0.60963,1.07063,0.0053,0.86851,0.86535,0.958,0.83488,0.74359,0.53264,0.00747,0.000206251,0.000206251,0.000206251
116,413.084,0.64613,1.16268,0.00515,0.87443,0.87161,0.94719,0.82595,0.72438,0.52103,0.00726,0.000200753,0.000200753,0.000200753
